,isim,yıl,süre,kategori,oy
381,Gattaca,1997,106,"Drama, Sci-Fi, Thriller            ",7.8
382,Million Dollar Baby,2004,132,"Drama, Sport            ",8.1
383,The Pursuit of Happyness,2006,117,"Biography, Drama            ",8.0
384,Magnolia,1999,188,Drama            ,8.0
385,Man on Fire,2004,146,"Action, Crime, Drama            ",7.7
386,Despicable Me,2010,95,"Animation, Comedy, Crime            ",7.6
387,Raging Bull,1980,129,"Biography, Drama, Sport            ",8.2
388,The Fugitive,1993,130,"Action, Crime, Drama            ",7.8
389,Before Sunrise,1995,101,"Drama, Romance            ",8.1
390,Lawrence of Arabia,1962,228,"Adventure, Biography, Drama            ",8.3
391,Lion,2016,118,"Biography, Drama            ",8.0
392,The Royal Tenenbaums,2001,110,"Comedy, Drama            ",7.6
393,A Bronx Tale,1993,121,"Crime, Drama, Romance            ",7.8
394,The Bourne Ultimatum,2007,115,"Action, Mystery, Thriller            ",8.0
395,Vertigo,1958,128,"Mystery, Romance, Thriller            ",8.3
396,Mr. Nobody,2009,141,"Drama, Fantasy, Romance            ",7.8
397,Falling Down,1993,113,"Action, Crime, Drama            ",7.6
398,Life of Pi,2012,127,"Adventure, Drama, Fantasy            ",7.9
399,Star Trek Into Darkness,2013,132,"Action, Adventure, Sci-Fi            ",7.7
400,The Little Mermaid,1989,83,"Animation, Family, Fantasy            ",7.6
401,Monty Python and the Holy Grail,1975,91,"Adventure, Comedy, Fantasy            ",8.2
402,Young Frankenstein,1974,106,Comedy            ,8.0
403,As Good as It Gets,1997,139,"Comedy, Drama, Romance            ",7.7
404,Chung Hing sam lam,1994,102,"Comedy, Crime, Drama            ",8.1
405,Boyz n the Hood,1991,112,"Crime, Drama            ",7.8
406,The Sting,1973,129,"Comedy, Crime, Drama            ",8.3
407,Some Like It Hot,1959,121,"Comedy, Music, Romance            ",8.2
408,Wo hu cang long,2000,120,"Action, Adventure, Fantasy            ",7.8
